"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.048,0.144,0.612,0.432,0.08,0.168,0.08,0
"2",1,0,0.044,0,0,0,0.016,0,0,0
"3",2,1,1,0.064,1,1,1,0.456,1,0.428
"4",3,0.024,0.096,0.008,0.112,0.372,0.008,0.036,0,0
"5",4,0.204,0.032,0.924,0.52,0.656,0.096,0.168,0.972,0
"6",5,0.152,0.2,0.68,0.116,0.424,0.32,0.28,0.056,0
"7",6,0,0,0.008,0,0.14,0.22,0.008,0,0
"8",7,0.028,0.896,0,1,0.056,0.28,0.004,1,0
"9",8,0,0,0.004,0.02,0,0.092,0,0,0
"10",9,0,0,0,0.304,0,0,0,0,0
"11",10,0.824,0,0.256,0,0,0,0,0,0
"12",11,0,0,0.004,0,0.056,0,0.104,0.552,0
"13",12,1,0.408,0.196,0.016,0.164,1,1,1,0
"14",13,0,0.74,0,0,0,0,0,0,0
"15",14,0,0.92,0,0,0.572,0,0.484,1,0
"16",15,0.328,0,0.008,0.024,0,0.332,0,0.116,0
"17",16,0,0,0,0.036,0,0.184,0,0,0
"18",17,0.188,0,0.7,0,0,0,0,0,0
"19",18,0.176,0.068,0.008,0.012,0.004,0.084,0,0,0
"20",19,0,0,0.632,0,0,0,0,0.012,0
"21",20,0,0,0,0.568,0.108,0,0.552,0,0
"22",21,0,0,0.14,0,0,0,0.12,0,0
"23",22,0,0,0,0,0.132,0,0,0,0
"24",23,0.484,0.252,0,0.14,1,0,0.852,0.996,0
"25",24,0.348,0.832,0.7,0.344,0.84,0.884,0.068,0.56,0
"26",25,0,1,1,0.996,1,1,1,1,0
"27",26,0.976,0,0,0.004,0,0.7,0,0,0
"28",27,0.008,0.016,0.18,0.02,0.008,0.072,0,0,0
"29",28,0,0.124,0,0,0.836,0,0.104,0,0
"30",29,0,0.016,0,0.34,0.032,0.708,0.08,0,0
"31",30,0.004,1,0.76,0.94,0.32,0,0.996,1,0.944
"32",31,0,0.004,0,0,0.112,0,0,0,0
"33",32,0.156,0.88,0.92,0.852,0.236,0.632,0.592,1,0
"34",33,0,0,0,0,0,0,0.128,0,0
"35",34,0,0.088,0,0.44,0,0,0,0,0
"36",35,1,0.936,0.3,0.092,0.988,0.424,0.976,1,1
"37",36,0,0.14,0,0,0,0,0,0,0
"38",37,0,0,0,0,0.008,0,0,1,0
"39",38,0,0,0,0,0,0.884,1,0,0
"40",39,0.324,0.132,0.112,0.356,0.304,0.352,0.064,0,0
"41",40,0,0.944,0.252,0,0.004,0.016,0.4,0,0
"42",41,0,1,0.708,1,1,0.756,1,1,0
"43",42,0,0,0,0,0.94,0,0,0.968,0
"44",43,0.012,0.004,0.02,0,0,0,0,0,0
"45",44,0,0,0,0,0.012,0,0.8,0,0
"46",45,0.008,0.608,0.996,0.008,1,0.872,0.28,1,0
"47",46,0.016,0.132,0.988,0.924,0.164,0.28,0,0.96,0
"48",47,0,0,0,0,0.084,0.24,0,0,0
"49",48,0.176,0.024,0.088,0.264,0.404,0.16,0.18,0,0
"50",49,0.404,0.684,0.328,0.796,0.744,0.808,0.536,0.616,0.016
"51",50,0,0,0.46,0,0.268,0,0,0,0
"52",51,0.924,1,0,0,0.636,0,0.868,0.08,0
"53",52,1,0,0,0,0,0,0,0,0
"54",53,0.58,0.992,1,1,1,0.996,1,1,0
"55",54,0,0.036,0,0.46,0.024,0.024,0,0.964,0
"56",55,0.504,0,1,1,0.452,0.996,0,1,0
"57",56,0.552,0.06,0.788,0,0,0.264,0.14,0,0
"58",57,0,0.468,0,0,0.972,0,0,1,0
"59",58,0,0,0.004,0.02,0,0,0.964,0,0
"60",59,0.448,0.004,0.076,0,0.4,0.58,0.044,0.064,0
"61",60,0,0,0.956,0.04,0,0,0,0,0
"62",61,0.996,1,1,0.448,0.924,0.504,0.98,1,1
"63",62,1,0.996,1,0.34,0.704,1,1,1,1
"64",63,0.108,0.232,0.164,0.348,0.544,0.088,0.704,0.028,0
"65",64,0,0.536,0.504,0.036,0.012,0,0.232,0,0
"66",65,0.292,0,0.052,0,0,0,0,0,0
"67",66,0,0,0.004,0.564,0.008,0.02,0.648,0,0
"68",67,0,0.008,0.316,0.008,0.18,0.744,0.276,0,0
"69",68,1,1,1,1,1,1,0.976,1,0
"70",69,0.012,1,1,1,1,1,0.096,1,0
"71",70,1,0,0,1,0,1,0.848,1,0
"72",71,1,0.972,1,0.984,0.672,0.004,0.068,1,1
"73",72,0,0.076,0.5,0.12,0.056,0.116,0.124,0.996,0
"74",73,0,0.028,0,0,0,0,0,0,0
"75",74,0,0.092,0.16,0.004,0.02,0.048,0.128,0,0
"76",75,0,0.072,0.872,0.868,0.648,0,0.14,0,0
"77",76,0,0.164,0.012,0.004,0,0.028,0,0,0
"78",77,0,0,0.004,0,0.008,0.064,0.288,0.008,0
"79",78,0,0,0,0.7,0,0,0,0,0
"80",79,0.168,0,0.056,0.172,0.152,0,0.036,0,0
"81",80,0.024,0,0.052,0.04,0,0.16,0,0,0
"82",81,0,0.048,0,0,0.056,0,0,0,0
"83",82,0.012,0.012,0.092,0.032,0.052,0.256,0.3,0,0
"84",83,0,0.172,0,0.56,0,0,0,0.564,0
"85",84,0.976,0.208,0.956,0.94,0.964,0.42,0.864,1,1
"86",85,0.016,0,0,0,0.2,0,0.008,0,0
"87",86,0,0.004,0.732,0.012,0,0,0.044,0,0
"88",87,1,1,0,0.368,0.064,0.648,0.404,0.7,0
"89",88,0,0,0,0.632,0,0,0,0,0
"90",89,1,0.992,0.44,0.996,0.98,0.024,0.96,1,0.004
"91",90,1,1,0.16,0.924,1,1,0.86,1,1
"92",91,0.036,0,0.672,0,0.628,0.472,0.096,0.548,0
"93",92,1,0.316,0,0.612,0,0,0,0,0
"94",93,0,0.072,0.112,0.224,0.404,0.016,0.464,0,0
"95",94,0,1,0,0,0.1,0,0,0,0
"96",95,0,0,0,0,0.188,0.188,0.368,0.98,0
"97",96,0,0.676,0.552,0.528,0.104,0.212,0.84,0,0
"98",97,0.008,0.124,0.48,0.152,0.128,0.316,0.86,0.028,0.004
"99",98,0,0.296,0,0.996,0.308,0,0,0,0
"100",99,0.948,1,1,0.044,1,0,0.26,1,0
