"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"90",89,0.856,0.532,0.828,0.888,0.896,0.984,0.964,1,0.428
"91",90,0.852,1,1,0.54,0.984,1,0.98,1,0.6
"92",91,0.716,0.164,0.18,0.336,0.456,0.376,0.232,0,0
"93",92,0.964,0.808,0,0.236,0,0,0.012,0,0
"94",93,0.076,0.504,0.136,0.316,0.192,0.332,0.2,0,0
"95",94,0.048,0.084,0,0,0,0.048,0.524,0.768,0
"96",95,0.656,0.108,0,0,0.808,0.088,0,0.816,0
"97",96,0.104,0.512,0.464,0.412,0.432,0.464,0.36,0,0
"98",97,0.284,0.412,0.42,0.568,0.504,0.496,0.588,0.028,0.272
"99",98,0.464,0,0.188,0.02,0.012,0.116,0.324,0.216,0
"100",99,1,0.44,0.972,0.496,0.864,0.012,1,0.996,0
