"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.18,0,0,0.46,0.064,0.448,0,0
"2",1,0.572,0,0,0,0.004,0,0,0,0
"3",2,0.384,1,1,1,1,1,0.012,1,0.136
"4",3,0.056,0,0,0.668,1,0,0.052,0.952,0
"5",4,0.976,0.196,0,0.472,0,0.9,0,0.588,0
"6",5,0,0.688,0.828,0.528,0.044,0.348,0.216,0.588,0
"7",6,0,0,0,0,0,0.408,0,0,0
"8",7,0,1,1,0.68,0,0.952,0,1,0
"9",8,0,0.8,0.936,0.02,0,0,0,0,0
"10",9,0.072,0,0,0,0,0.016,0,0,0
"11",10,0,0,0,0,0,0,0,0,0
"12",11,0.016,0.048,0,0.032,0,0,1,0,0
"13",12,1,0.988,1,0.012,1,1,1,1,0
"14",13,0,0,0,0,0,0,0.356,0,0
"15",14,1,0,0.988,0,0.292,0.772,0,0,0
"16",15,0.796,0,0,0.864,0,1,0,0,0
"17",16,0,0,0,0,0.188,0,0,0,0
"18",17,0,0.132,0,0,0,0,0,0,0
"19",18,0,0,0,0,0.452,0.544,0,0,0
"20",19,0,0,0.028,0,0,0.368,0,0,0
"21",20,0,0,0,0,0,0,0,0,0
"22",21,0.496,0.096,0,0,0,0,0.36,0,0
"23",22,0.108,0,0,0,0,0,0.804,0,0
"24",23,1,1,0.272,0.412,0,1,0,0.892,0
"25",24,0.768,0.244,0.416,0.948,0.264,0.076,0.904,0.944,0
"26",25,1,1,0,0,1,1,0.012,1,0
"27",26,0,0,0,0,0,0,0,0,0
"28",27,0.424,0.044,0,0,0.084,0.108,0.448,0,0
"29",28,0,0,0,0,0,1,0,0,0
"30",29,0,0,0,0,0.344,0.776,0.56,0,0
"31",30,1,1,0,0.008,0,0,0.936,1,0.828
"32",31,0,0,0,0,0,0.664,0,0,0
"33",32,0.688,0.592,0.996,0.212,0.26,0.488,0.96,1,0
"34",33,0.008,0,0,0,0,0,0,0,0
"35",34,0,0,0,0,0,0,0,0.148,0
"36",35,1,1,1,1,1,0.924,0.96,1,1
"37",36,0,0.008,0,0.968,1,0.532,0,0,0
"38",37,0,0.512,0.184,0.04,0,0,0,0,0
"39",38,0,0,0,0,0,0,0,0.98,0
"40",39,0.06,0.172,0.644,0.248,0.508,0.024,0.048,0,0
"41",40,0,0,0.036,0.596,0,0,0.328,0,0
"42",41,0.996,1,0.924,1,0.048,1,0.996,1,0
"43",42,0,0,0,0,0,0,0,1,0
"44",43,0,0.012,0.08,0.016,0.008,0.296,0,0,0
"45",44,0,0,0,0.428,0,0,0.98,0,0
"46",45,0.356,0.496,0,0.84,0,0.052,0,1,0
"47",46,0,0.24,0.768,0.236,0,0.956,0.964,1,0
"48",47,0,0,0,0,0,0,0,0.44,0
"49",48,0,0.02,0.016,0,0.5,0,0,0,0
"50",49,0.772,0.872,0.748,0.876,0.228,0.972,0.712,0.956,0.028
"51",50,0,0,0.22,0,0.064,0.516,0.048,0,0
"52",51,1,0,1,0,0,1,0.468,0,0
"53",52,0,0,0.872,0,0,0.008,0,0.976,0
"54",53,1,1,0,1,0.976,1,1,1,0
"55",54,0.632,0.06,0.128,0.004,0.632,0.008,0,0,0
"56",55,0.004,0.012,0,0,0.332,0.008,1,1,0
"57",56,0,0,0,0.28,0,0.308,0,0,0
"58",57,1,0,0,0,0,0.62,0,0,0
"59",58,0,0.616,0,0.192,0,0.84,0,0,0
"60",59,0.004,0.328,0.44,0.604,0,0.004,0.008,0.004,0
"61",60,0,1,0.264,0,0,0,0.06,0.056,0
"62",61,0.776,1,1,1,1,0.92,1,1,1
"63",62,1,1,1,0.072,1,0.912,1,1,1
"64",63,0,0.38,0.012,0.512,0.312,0,0.528,0.98,0
"65",64,0,0.424,0.096,0.04,0,0,0,0,0
"66",65,0,0,0.336,0,0,0,0,0,0
"67",66,0,0.308,0,0,0.252,0,0,0,0
"68",67,0,0.468,0.136,0.016,0,0,0,0,0
"69",68,0.168,1,1,1,1,0.98,1,1,0
"70",69,0.876,1,1,1,0.276,0.616,0,1,0
"71",70,1,0,0.628,0.336,1,1,1,0.944,0
"72",71,1,1,1,1,0.532,0.152,0.952,1,1
"73",72,0.592,0.032,0.004,0.236,0.12,0.676,0.004,0,0
"74",73,0,0.392,0,0,0,0,0,0.012,0
"75",74,0,0.036,0.012,0.136,0,0.008,0.008,0,0
"76",75,0,0,0,0,0,0,0.004,0.22,0
"77",76,0.052,0.544,0.036,0.5,0,0.436,0,0,0
"78",77,0.324,0.216,0.004,0.344,0.016,0.08,0.172,0,0
"79",78,0,0,0.216,0,0,0,0,0,0
"80",79,0,0.004,0,0.092,0,0,0,0,0
"81",80,0,0,0,0,0.436,0,0,0,0
"82",81,0,0,0,0,0,0,0,0,0
"83",82,0.024,0.796,0,0.04,0.412,0.632,0.04,0,0
"84",83,0,0,0.296,0.088,0.5,0.144,0,0.088,0
"85",84,0.42,1,1,0.796,0.536,0.948,0.608,1,1
"86",85,0,0,0.124,0,0,0,0,0,0
"87",86,0,0,0,0,0,0,0,0,0
"88",87,1,0,0.996,0.796,0,1,1,0,0
"89",88,0,0,0,0,0,0,0,0,0
"90",89,1,1,0.992,1,1,0.968,0.64,1,0
"91",90,1,0.016,0.104,0.068,0.232,0.976,1,1,1
"92",91,0,0.716,0.068,1,0.368,0.648,0.032,0,0
"93",92,0,0,0.004,0,0,0,0,0.62,0
"94",93,0.016,0.044,0,0.016,0.004,0.112,0.276,0,0
"95",94,0,1,0.016,0,0,0,0,0,0
"96",95,0,0.58,0,0,0,0.908,0,0,0
"97",96,0.02,0,0.112,0,0.112,0.004,0.72,0,0
"98",97,0.004,0.384,0.36,0.824,0.436,0.228,0.044,0,0
"99",98,0,0,0.012,0.78,0,0.124,0,0,0
"100",99,0,0,1,1,1,0,1,1,0
