"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.592,0.484,0.536,0.516,0.492,0.5,0.968,0
"2",1,0,0.24,0.488,0.456,0.24,0.504,0.436,0,0
"3",2,1,0.596,0.672,0.516,0.54,0.576,0.5,1,0
"4",3,0,0.48,0.516,0.492,0.512,0.508,0.396,0,0
"5",4,0.156,0.416,0.496,0.52,0.428,0.452,0.668,1,0
"6",5,0.304,0.532,0.624,0.548,0.528,0.504,0.436,0.004,0
"7",6,0,0.488,0.396,0.488,0.464,0.512,0.336,0,0
"8",7,1,0.596,0.532,0.536,0.616,0.548,0.712,1,0
"9",8,0,0.52,0.552,0.44,0.552,0.468,0.432,0,0
"10",9,0,0.52,0.456,0.52,0.584,0.628,0.4,0.58,0
"11",10,0,0.54,0.444,0.556,0.292,0.324,0.54,0.024,0
"12",11,0,0.552,0.412,0.28,0.504,0.424,0.328,0,0
"13",12,1,0.6,0.752,0.728,0.656,0.58,0.976,1,0
"14",13,0,0.412,0.268,0.548,0.432,0.348,0.468,0.616,0
"15",14,0.272,0.508,0.504,0.676,0.84,0.372,0.564,1,0
"16",15,0,0.332,0.512,0.352,0.436,0.46,0.62,0.932,0
"17",16,0,0.512,0.392,0.48,0.48,0.396,0.256,0,0
"18",17,0,0.472,0.512,0.464,0.48,0.532,0.528,0,0
"19",18,0,0.484,0.472,0.488,0.4,0.484,0.5,0.008,0
"20",19,0,0.468,0.508,0.536,0.504,0.504,0.416,0.488,0
"21",20,0,0.512,0.536,0.504,0.412,0.42,0.428,1,0
"22",21,0,0.396,0.528,0.508,0.492,0.488,0.448,0.02,0
"23",22,0,0.348,0.532,0.376,0.464,0.032,0.488,0.996,0
"24",23,1,0.468,0.62,0.492,0.544,0.428,0.708,0,0
"25",24,0.984,0.568,0.512,0.548,0.524,0.528,0.444,0,0
"26",25,1,0.792,0.652,0.732,0.464,0.6,0.5,1,0
"27",26,0,0.136,0.436,0.532,0.556,0.536,0.228,0.972,0
"28",27,0,0.524,0.428,0.492,0.476,0.536,0.448,0,0
"29",28,0,0.544,0.172,0.52,0.58,0.468,0.728,1,0
"30",29,0,0.696,0.52,0.396,0.524,0.58,0.524,0,0
"31",30,1,0.56,0.556,0.696,0.468,0.884,0.732,1,0
"32",31,0,0.344,0.496,0.4,0.492,0.5,0.428,0,0
"33",32,1,0.644,0.492,0.612,0.54,0.504,0.58,1,0
"34",33,0,0.068,0.388,0.536,0.16,0.572,0.22,1,0
"35",34,0,0.432,0.476,0.48,0.336,0.464,0.384,0,0
"36",35,1,0.576,0.592,0.452,0.46,0.5,0.56,1,0
"37",36,0,0.532,0.528,0.232,0.436,0.352,0.576,1,0
"38",37,0,0.464,0.212,0.644,0.544,0.452,0.752,1,0
"39",38,0,0.764,0.208,0.76,0.708,0.512,0.616,1,0
"40",39,0,0.428,0.52,0.456,0.448,0.508,0.48,0.168,0
"41",40,0,0.436,0.4,0.64,0.512,0.528,0.496,0,0
"42",41,1,0.708,0.5,0.84,0.428,0.828,0.6,0.964,0
"43",42,0,0.72,0.62,0.452,0.52,0.328,0.772,0.02,0
"44",43,0,0.524,0.436,0.508,0.472,0.544,0.324,0.616,0
"45",44,0,0.488,0.388,0.168,0.352,0.48,0.368,0.928,0
"46",45,0,0.536,0.584,0.564,0.572,0.448,0.256,0.996,0
"47",46,0,0.424,0.564,0.744,0.46,0.484,0.452,0.996,0
"48",47,0,0.316,0.092,0.572,0.232,0.368,0.532,1,0
"49",48,0,0.512,0.544,0.536,0.44,0.524,0.448,0.988,0
"50",49,0.712,0.5,0.52,0.476,0.52,0.56,0.536,0.2,0
"51",50,0,0.52,0.476,0.54,0.332,0.496,0.492,0,0
"52",51,0.72,0.468,0.508,0.228,0.736,0.688,0.496,1,0
"53",52,0,0.408,0.208,0.512,0.516,0.436,0.808,1,0
"54",53,1,0.74,0.656,0.744,0.748,0.36,0.368,0,0
"55",54,0,0.448,0.452,0.464,0.412,0.54,0.476,0.872,0
"56",55,0.852,0.572,0.496,0.576,0.5,0.532,0.424,0.98,0
"57",56,0.028,0.56,0.536,0.38,0.48,0.504,0.516,0,0
"58",57,0,0.488,0.464,0.408,0.688,0.608,0.54,0.98,0
"59",58,0,0.352,0.508,0.608,0.444,0.548,0.352,1,0
"60",59,0,0.496,0.508,0.232,0.536,0.648,0.596,1,0
"61",60,1,0.396,0.66,0.512,0.492,0.368,0.56,0,0
"62",61,1,0.596,0.512,0.544,0.544,0.548,0.716,1,0
"63",62,1,0.42,0.628,0.868,0.848,0.44,0.476,1,0
"64",63,0,0.592,0.516,0.54,0.488,0.484,0.528,0.96,0
"65",64,0,0.36,0.464,0.644,0.508,0.532,0.508,0,0
